# Time	field	min	position(min)	max	position(max)
1257	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1258	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1259	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1260	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1261	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1262	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1263	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1264	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1265	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1266	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1267	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1268	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1269	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1270	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1271	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1272	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1273	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1274	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1275	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1276	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1277	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1278	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1279	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1280	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1281	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1282	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1283	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1284	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1285	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1286	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1287	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1288	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1289	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
1290	Ua	0	(0 0.0093083 0)	0.45099	(0.0749621 0.013582 -1.33482e-20)
