# Time	field	min	position(min)	max	position(max)
1223	Ua	0	(0.0101886 0.0130353 0)	59.5387	(0.0498085 0.0148949 -2.71874e-20)
1224	Ua	0	(0.0101886 0.0130353 0)	59.5464	(0.0498085 0.0148949 -2.71874e-20)
1225	Ua	0	(0.0101886 0.0130353 0)	59.5539	(0.0498085 0.0148949 -2.71874e-20)
1226	Ua	0	(0.0101886 0.0130353 0)	59.5614	(0.0498085 0.0148949 -2.71874e-20)
1227	Ua	0	(0.0101886 0.0130353 0)	59.5688	(0.0498085 0.0148949 -2.71874e-20)
1228	Ua	0	(0.0101886 0.0130353 0)	59.576	(0.0498085 0.0148949 -2.71874e-20)
1229	Ua	0	(0.0101886 0.0130353 0)	59.5832	(0.0498085 0.0148949 -2.71874e-20)
1230	Ua	0	(0.0101886 0.0130353 0)	59.5903	(0.0498085 0.0148949 -2.71874e-20)
1231	Ua	0	(0.0101886 0.0130353 0)	59.5972	(0.0498085 0.0148949 -2.71874e-20)
1232	Ua	0	(0.0101886 0.0130353 0)	59.6041	(0.0498085 0.0148949 -2.71874e-20)
1233	Ua	0	(0.0101886 0.0130353 0)	59.6109	(0.0498085 0.0148949 -2.71874e-20)
1234	Ua	0	(0.0101886 0.0130353 0)	59.6176	(0.0498085 0.0148949 -2.71874e-20)
1235	Ua	0	(0.0101886 0.0130353 0)	59.6243	(0.0498085 0.0148949 -2.71874e-20)
1236	Ua	0	(0.0101886 0.0130353 0)	59.6308	(0.0498085 0.0148949 -2.71874e-20)
1237	Ua	0	(0.0101886 0.0130353 0)	59.6372	(0.0498085 0.0148949 -2.71874e-20)
1238	Ua	0	(0.0101886 0.0130353 0)	59.6436	(0.0498085 0.0148949 -2.71874e-20)
1239	Ua	0	(0.0101886 0.0130353 0)	59.6499	(0.0498085 0.0148949 -2.71874e-20)
1240	Ua	0	(0.0101886 0.0130353 0)	59.6561	(0.0498085 0.0148949 -2.71874e-20)
1241	Ua	0	(0.0101886 0.0130353 0)	59.6622	(0.0498085 0.0148949 -2.71874e-20)
1242	Ua	0	(0.0101886 0.0130353 0)	59.6682	(0.0498085 0.0148949 -2.71874e-20)
1243	Ua	0	(0.0101886 0.0130353 0)	59.6742	(0.0498085 0.0148949 -2.71874e-20)
1244	Ua	0	(0.0101886 0.0130353 0)	59.68	(0.0498085 0.0148949 -2.71874e-20)
1245	Ua	0	(0.0101886 0.0130353 0)	59.6858	(0.0498085 0.0148949 -2.71874e-20)
1246	Ua	0	(0.0101886 0.0130353 0)	59.6916	(0.0498085 0.0148949 -2.71874e-20)
1247	Ua	0	(0.0101886 0.0130353 0)	59.6972	(0.0498085 0.0148949 -2.71874e-20)
1248	Ua	0	(0.0101886 0.0130353 0)	59.7028	(0.0498085 0.0148949 -2.71874e-20)
1249	Ua	0	(0.0101886 0.0130353 0)	59.7083	(0.0498085 0.0148949 -2.71874e-20)
1250	Ua	0	(0.0101886 0.0130353 0)	59.7137	(0.0498085 0.0148949 -2.71874e-20)
1251	Ua	0	(0.0101886 0.0130353 0)	59.7191	(0.0498085 0.0148949 -2.71874e-20)
1252	Ua	0	(0.0101886 0.0130353 0)	59.7243	(0.0498085 0.0148949 -2.71874e-20)
1253	Ua	0	(0.0101886 0.0130353 0)	59.7295	(0.0498085 0.0148949 -2.71874e-20)
1254	Ua	0	(0.0101886 0.0130353 0)	59.7347	(0.0498085 0.0148949 -2.71874e-20)
1255	Ua	0	(0.0101886 0.0130353 0)	59.7398	(0.0498085 0.0148949 -2.71874e-20)
1256	Ua	0	(0.0101886 0.0130353 0)	59.7448	(0.0498085 0.0148949 -2.71874e-20)
1257	Ua	0	(0.0101886 0.0130353 0)	59.7497	(0.0498085 0.0148949 -2.71874e-20)
1258	Ua	0	(0.0101886 0.0130353 0)	59.7546	(0.0498085 0.0148949 -2.71874e-20)
1259	Ua	0	(0.0101886 0.0130353 0)	59.7594	(0.0498085 0.0148949 -2.71874e-20)
1260	Ua	0	(0.0101886 0.0130353 0)	59.7641	(0.0498085 0.0148949 -2.71874e-20)
1261	Ua	0	(0.0101886 0.0130353 0)	59.7688	(0.0498085 0.0148949 -2.71874e-20)
1262	Ua	0	(0.0101886 0.0130353 0)	59.7734	(0.0498085 0.0148949 -2.71874e-20)
1263	Ua	0	(0.0101886 0.0130353 0)	59.7779	(0.0498085 0.0148949 -2.71874e-20)
